point,x_b,y_b,z_b,u_c,v_c,z_c
1,31.625,-461.947,55,364,259,566
2,-18.887,-402.955,55,402,302,567
3,49.046,-399.092,55,350,306,568
4,77.637,-482.413,55,329,244,565
5,-115.643,-320.498,55,474,364,561
6,-67.001,-356.777,55,439,338,561
7,-109.507,-431.651,55,470,280,567
8,-67.778,-445.22,55,438,270,565
9,-127.271,-606.06,55,480,150,570
10,-127.251,-546.7,55,481,192,569
11,-51.507,-555.573,55,424,188,569
12,-51.506,-600.894,55,424,154,572
13,152.378,-482.216,55,272,244,567
14,152.371,-553.055,55,274,190,569
15,60.931,-595.607,55,340,160,570
16,69.206,-515.559,55,335,218,570
17,154.844,-334.871,55,272,354,563
18,77.849,-355.236,55,329,338,563
19,91.541,-418.63,55,319,292,565
